0,1,2,3,4,5,6,7,9,10
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","7,826.08 (82%)","4,976.08 (52%)",79.73,31.93,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,784.18 (78%)","3,519.18 (20%)",25.6,9.96,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,671.42 (75%)","3,659.42 (41%)",38.88,15.07,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,390.06 (75%),345.06 (66%),7.42,3.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,87.3 (75%),75.24 (64%),0.16,0.33,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,940.98 (70%)","2,589.44 (46%)",6.85,3.56,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","9,230.21 (69%)","5,430.21 (40%)",62.99,12,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,179.54 (68%),167.35 (63%),4.25,3.62,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,198.06 (67%),178.06 (60%),2.16,0.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,171.09 (65%),157.09 (60%),6.23,0.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,138.35 (62%),133.83 (60%),3.89,2.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,163.66 (60%),156.66 (57%),0.78,1.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,95.32 (58%),81.82 (50%),0.84,0.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,163.17 (55%),148.92 (50%),2.17,0.8,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,391.53 (55%),326.53 (46%),2.73,2.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,082.3 (55%)",250.92 (13%),0.61,2.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,56.58 (51%),40.68 (37%),1.15,0.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,87.1 (51%),80.9 (48%),5.14,3.38,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,83.58 (51%),46.36 (28%),1.46,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,52.73 (50%),49.18 (46%),5.76,6.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,430.83 (46%),387.83 (41%),14.16,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",903.94 (46%),803.94 (41%),28.58,5.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",647.93 (45%),371.65 (26%),2.03,6.01,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.01 (42%),52.01 (37%),0.1,0.52,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.37 (40%),57.69 (35%),3.58,0.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,50.32 (37%),43.73 (32%),4.15,0.47,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,142.7 (37%),125.11 (32%),0.52,0.34,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,109 (36%),69 (23%),0.58,0.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,49.4 (32%),48 (31%),0.28,0.48,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,285.46 (30%),282.46 (29%),10.84,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",676.36 (28%),94.69 (4%),13.44,4.03,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,29.12 (24%),25.67 (21%),0.1,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,71 (23%),48.3 (15%),0.87,0.09,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,71.11 (17%),41.11 (10%),3.43,0.13,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,26.52 (17%),9.52 (6%),0,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","7,826.08 (82%)","4,976.08 (52%)",79.73,31.93,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,784.18 (78%)","3,519.18 (20%)",25.6,9.96,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,671.42 (75%)","3,659.42 (41%)",38.88,15.07,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,390.06 (75%),345.06 (66%),7.42,3.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,87.3 (75%),75.24 (64%),0.16,0.33,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,940.98 (70%)","2,589.44 (46%)",6.85,3.56,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","9,230.21 (69%)","5,430.21 (40%)",62.99,12,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,179.54 (68%),167.35 (63%),4.25,3.62,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,198.06 (67%),178.06 (60%),2.16,0.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,171.09 (65%),157.09 (60%),6.23,0.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,138.35 (62%),133.83 (60%),3.89,2.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,163.66 (60%),156.66 (57%),0.78,1.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,95.32 (58%),81.82 (50%),0.84,0.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,163.17 (55%),148.92 (50%),2.17,0.8,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,391.53 (55%),326.53 (46%),2.73,2.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,082.3 (55%)",250.92 (13%),0.61,2.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,56.58 (51%),40.68 (37%),1.15,0.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,87.1 (51%),80.9 (48%),5.14,3.38,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,83.58 (51%),46.36 (28%),1.46,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,52.73 (50%),49.18 (46%),5.76,6.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,430.83 (46%),387.83 (41%),14.16,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",903.94 (46%),803.94 (41%),28.58,5.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",647.93 (45%),371.65 (26%),2.03,6.01,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.01 (42%),52.01 (37%),0.1,0.52,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.37 (40%),57.69 (35%),3.58,0.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,50.32 (37%),43.73 (32%),4.15,0.47,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,142.7 (37%),125.11 (32%),0.52,0.34,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,109 (36%),69 (23%),0.58,0.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,49.4 (32%),48 (31%),0.28,0.48,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,285.46 (30%),282.46 (29%),10.84,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",676.36 (28%),94.69 (4%),13.44,4.03,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,29.12 (24%),25.67 (21%),0.1,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,71 (23%),48.3 (15%),0.87,0.09,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,71.11 (17%),41.11 (10%),3.43,0.13,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,26.52 (17%),9.52 (6%),0,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","7,826.08 (82%)","4,976.08 (52%)",79.73,31.93,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,784.18 (78%)","3,519.18 (20%)",25.6,9.96,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,671.42 (75%)","3,659.42 (41%)",38.88,15.07,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,390.06 (75%),345.06 (66%),7.42,3.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,87.3 (75%),75.24 (64%),0.16,0.33,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,940.98 (70%)","2,589.44 (46%)",6.85,3.56,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","9,230.21 (69%)","5,430.21 (40%)",62.99,12,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,179.54 (68%),167.35 (63%),4.25,3.62,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,198.06 (67%),178.06 (60%),2.16,0.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,171.09 (65%),157.09 (60%),6.23,0.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,138.35 (62%),133.83 (60%),3.89,2.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,163.66 (60%),156.66 (57%),0.78,1.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,95.32 (58%),81.82 (50%),0.84,0.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,163.17 (55%),148.92 (50%),2.17,0.8,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,391.53 (55%),326.53 (46%),2.73,2.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,082.3 (55%)",250.92 (13%),0.61,2.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,56.58 (51%),40.68 (37%),1.15,0.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,87.1 (51%),80.9 (48%),5.14,3.38,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,83.58 (51%),46.36 (28%),1.46,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,52.73 (50%),49.18 (46%),5.76,6.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,430.83 (46%),387.83 (41%),14.16,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",903.94 (46%),803.94 (41%),28.58,5.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",647.93 (45%),371.65 (26%),2.03,6.01,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.01 (42%),52.01 (37%),0.1,0.52,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.37 (40%),57.69 (35%),3.58,0.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,50.32 (37%),43.73 (32%),4.15,0.47,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,142.7 (37%),125.11 (32%),0.52,0.34,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,109 (36%),69 (23%),0.58,0.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,49.4 (32%),48 (31%),0.28,0.48,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,285.46 (30%),282.46 (29%),10.84,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",676.36 (28%),94.69 (4%),13.44,4.03,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,29.12 (24%),25.67 (21%),0.1,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,71 (23%),48.3 (15%),0.87,0.09,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,71.11 (17%),41.11 (10%),3.43,0.13,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,26.52 (17%),9.52 (6%),0,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิริกิติ์,อุตรดิตถ์,"9,510","6,660","7,826.08 (82%)","4,976.08 (52%)",79.73,31.93,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนศรีนครินทร์,กาญจนบุรี,"17,745","7,480","13,784.18 (78%)","3,519.18 (20%)",25.6,9.96,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนวชิราลงกรณ,กาญจนบุรี,"8,860","5,848","6,671.42 (75%)","3,659.42 (41%)",38.88,15.07,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำอูน,สกลนคร,520,475,390.06 (75%),345.06 (66%),7.42,3.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางพระ,ชลบุรี,117,104.94,87.3 (75%),75.24 (64%),0.16,0.33,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนรัชชประภา,สุราษฎร์ธานี,"5,638.84","4,287","3,940.98 (70%)","2,589.44 (46%)",6.85,3.56,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนภูมิพล,ตาก,"13,462","9,662","9,230.21 (69%)","5,430.21 (40%)",62.99,12,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่งัดสมบูรณ์ชล,เชียงใหม่,265,253,179.54 (68%),167.35 (63%),4.25,3.62,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนประแสร์,ระยอง,295,275,198.06 (67%),178.06 (60%),2.16,0.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่กวงอุดมธารา,เชียงใหม่,263,249,171.09 (65%),157.09 (60%),6.23,0.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนขุนด่านปราการชล,นครนายก,224,219.48,138.35 (62%),133.83 (60%),3.89,2.31,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำแชะ,นครราชสีมา,275,268,163.66 (60%),156.66 (57%),0.78,1.24,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนหนองปลาไหล,ระยอง,164,150.25,95.32 (58%),81.82 (50%),0.84,0.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนนฤบดินทรจินดา,ปราจีนบุรี,295,275.5,163.17 (55%),148.92 (50%),2.17,0.8,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแก่งกระจาน,เพชรบุรี,710,645,391.53 (55%),326.53 (46%),2.73,2.59,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนสิรินธร,อุบลราชธานี,"1,966.47","1,135","1,082.3 (55%)",250.92 (13%),0.61,2.04,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแม่มอก,ลำปาง,110,94.1,56.58 (51%),40.68 (37%),1.15,0.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วคอหมา,ลำปาง,170,163.8,87.1 (51%),80.9 (48%),5.14,3.38,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนจุฬาภรณ์,ชัยภูมิ,163.75,127,83.58 (51%),46.36 (28%),1.46,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกิ่วลม,ลำปาง,106.22,102.67,52.73 (50%),49.18 (46%),5.76,6.19,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนแควน้อยบำรุงแดน,พิษณุโลก,939,896,430.83 (46%),387.83 (41%),14.16,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำปาว,กาฬสินธุ์,"1,980","1,880",903.94 (46%),803.94 (41%),28.58,5.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนบางลาง,ยะลา,"1,454.36","1,178.08",647.93 (45%),371.65 (26%),2.03,6.01,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนมูลบน,นครราชสีมา,141,134,59.01 (42%),52.01 (37%),0.1,0.52,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนน้ำพุง,สกลนคร,165.48,157,66.37 (40%),57.69 (35%),3.58,0.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนห้วยหลวง,อุดรธานี,135.57,128.98,50.32 (37%),43.73 (32%),4.15,0.47,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนปราณบุรี,ประจวบคีรีขันธ์,391,373.41,142.7 (37%),125.11 (32%),0.52,0.34,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนกระเสียว,สุพรรณบุรี,299,259,109 (36%),69 (23%),0.58,0.06,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำพระเพลิง,นครราชสีมา,155,153.6,49.4 (32%),48 (31%),0.28,0.48,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนป่าสักชลสิทธิ์,สระบุรี,960,957,285.46 (30%),282.46 (29%),10.84,1.3,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนอุบลรัตน์,ขอนแก่น,"2,431.32","1,850",676.36 (28%),94.69 (4%),13.44,4.03,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำนางรอง,บุรีรัมย์,121.41,118,29.12 (24%),25.67 (21%),0.1,0,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนลำตะคอง,นครราชสีมา,314.49,291.79,71 (23%),48.3 (15%),0.87,0.09,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนคลองสียัด,ฉะเชิงเทรา,420,390,71.11 (17%),41.11 (10%),3.43,0.13,27/08/2025,แหล่งน้ำขนาดใหญ่
เขื่อนทับเสลา,อุทัยธานี,160,143,26.52 (17%),9.52 (6%),0,0,27/08/2025,แหล่งน้ำขนาดใหญ่
